"","gene"
"RVBD_0704","rplB"
"RVBD_0705","rpsS"
"RVBD_0706","rplV"
"RVBD_0707","rpsC"
"RVBD_0708","rplP"
"RVBD_0709","rpmC"
"RVBD_0710","rpsQ"
"RVBD_0711","atsA"
"RVBD_0712","-"
"RVBD_0713","-"
"RVBD_0714","rplN"
"RVBD_0715","rplX"
"RVBD_0716","rplE"
"RVBD_0717","rpsN1"
"RVBD_0718","rpsH"
"RVBD_0719","rplF"
"RVBD_0720","rplR"
"RVBD_0721","rpsE"
"RVBD_0722","rpmD"
"RVBD_0723","rplO"
"RVBD_0724","sppA"
"RVBD_0725c","-"
"RVBD_0726c","-"
"RVBD_0727c","fucA"
"RVBD_0728c","serA2"
"RVBD_0729","xylB"
"RVBD_0730","-"
"RVBD_0731c","-"
"RVBD_0732","secY"
"RVBD_0733","adk"
"RVBD_0734","mapA"
"RVBD_0735","sigL"
"RVBD_0736","rslA"
"RVBD_0737","-"
"RVBD_0738","-"
"RVBD_0739","-"
"RVBD_0740","-"
"RVBD_0741","-"
"RVBD_0742","PE_PGRS8"
"RVBD_0743c","-"
"RVBD_0744c","-"
"RVBD_0744Ac","?"
"RVBD_0745","-"
"RVBD_0746","PE_PGRS9"
"RVBD_0747","PE_PGRS10"
"RVBD_0748","vapB31"
"RVBD_0749","vapC31"
"RVBD_0749A","-"
"RVBD_0750","-"
"RVBD_0751c","mmsB"
"RVBD_0752c","fadE9"
"RVBD_0753c","mmsA"
"RVBD_0754","PE_PGRS11"
"RVBD_0755c","PPE12"
"RVBD_0755A","-"
"RVBD_0756c","-"
"RVBD_0757","phoP"
"RVBD_0758","phoR"
"RVBD_0759c","-"
"RVBD_0760c","-"
"RVBD_0761c","adhB"
"RVBD_0762c","-"
"RVBD_0763c","-"
"RVBD_0764c","cyp51"
"RVBD_0765c","-"
"RVBD_0766c","cyp123"
"RVBD_0767c","-"
"RVBD_0768","aldA"
"RVBD_0769","-"
"RVBD_0770","-"
"RVBD_0771","-"
"RVBD_0772","purD"
"RVBD_0773c","ggtA"
"RVBD_0774c","-"
"RVBD_0775","-"
"RVBD_0776c","-"
"RVBD_0777","purB"
"RVBD_0778","cyp126"
"RVBD_0779c","-"
"RVBD_0780","purC"
"RVBD_0781","ptrBa"
"RVBD_0782","ptrBb"
"RVBD_0782Ac","?"
"RVBD_0783c","emrB"
"RVBD_0784","-"
"RVBD_0785","-"
"RVBD_0786c","-"
"RVBD_0787","-"
"RVBD_0787A","-"
"RVBD_0788","purQ"
"RVBD_0789c","-"
"RVBD_0790c","-"
"RVBD_0791c","-"
"RVBD_0792c","-"
"RVBD_0793","-"
"RVBD_0794c","-"
"RVBD_0795","-"
"RVBD_0796","-"
"RVBD_0797","-"
"RVBD_0798c","cfp29"
"RVBD_0799c","-"
"RVBD_0800","pepC"
"RVBD_0801","-"
"RVBD_0802c","-"
"RVBD_0803","purL"
"RVBD_0804","-"
"RVBD_0805","-"
"RVBD_0806c","cpsY"
"RVBD_0807","-"
"RVBD_0808","purF"
"RVBD_0809","purM"
"RVBD_0810c","-"
"RVBD_0811c","-"
"RVBD_0812","-"
"RVBD_0813c","-"
"RVBD_0813Ac","?"
"RVBD_0814c","sseC2"
"RVBD_0815c","cysA2"
"RVBD_0816c","thiX"
"RVBD_0817c","-"
"RVBD_0818","-"
"RVBD_0819","mshD"
"RVBD_0820","phoT"
"RVBD_0821c","phoY2"
"RVBD_0822c","-"
"RVBD_0823c","-"
"RVBD_0824c","desA1"
"RVBD_0825c","-"
"RVBD_0826","-"
"RVBD_0827c","kmtR"
"RVBD_0828c","-"
"RVBD_0829","-"
"RVBD_0830","-"
"RVBD_0831c","-"
"RVBD_0832","PE_PGRS12"
"RVBD_0833","PE_PGRS13"
"RVBD_0834c","PE_PGRS14"
"RVBD_0835","lpqQ"
"RVBD_0835Ac","?"
"RVBD_0836c","-"
"RVBD_0837c","-"
"RVBD_0838","lpqR"
"RVBD_0839","-"
"RVBD_0840c","pip"
"RVBD_0841","-"
"RVBD_0842","-"
"RVBD_0843","-"
"RVBD_0844c","narL"
"RVBD_0845","-"
"RVBD_0846c","-"
"RVBD_0847","lpqS"
"RVBD_0848","cysK2"
"RVBD_0849","-"
"RVBD_0850","-"
"RVBD_0851c","-"
"RVBD_0852","fadD16"
"RVBD_0853c","pdc"
"RVBD_0854","-"
"RVBD_0855","far"
"RVBD_0856","-"
"RVBD_0857","-"
